target_url,base_domain,branch,agency,agency_code,bureau,bureau_code,source_list_federal_domains,source_list_dap,source_list_pulse,source_list_other
albme.org/,albme.org,,,,,,,,,
albop.com/,albop.com,,,,,,,,,
alburtis.org/,alburtis.org,,,,,,,,,
www.aleutianseast.org/,aleutianseast.org,,,,,,,,,
www.alexandercityonline.com/,alexandercityonline.com,,,,,,,,,
alexandria-nj.us/,alexandria-nj.us,,,,,,,,,
alexandrianh.com/,alexandrianh.com,,,,,,,,,
www.alexandriatownship.org/,alexandriatownship.org,,,,,,,,,
www.alfredme.us/,alfredme.us,,,,,,,,,
alfredny.org/,alfredny.org,,,,,,,,,
www.algomacity.org/,algomacity.org,,,,,,,,,
algonquin.org/,algonquin.org,,,,,,,,,
www.alhurra.com/,alhurra.com,,U.S. Agency for Global Media,,,,,,,
allamuchynj.org/,allamuchynj.org,,,,,,,,,
cms.allegancounty.org/sitepages/default.aspx#.VedTH_lViko,allegancounty.org,,,,,,,,,
alleganyco.com/,alleganyco.com,,,,,,,,,
www.alleghanycounty.us/index.html,alleghanycounty.us,,,,,,,,,
alleghenycounty.us/,alleghenycounty.us,,,,,,,,,
alleghenytownship.net/,alleghenytownship.net,,,,,,,,,
allencounty.org/,allencounty.org,,,,,,,,,
allencountykentucky.com/,allencountykentucky.com,,,,,,,,,
allendalecounty.com/,allendalecounty.com,,,,,,,,,
allenhurstnj.org/content/125/default.aspx,allenhurstnj.org,,,,,,,,,
allentownship.org/,allentownship.org,,,,,,,,,
www.almacity.com/,almacity.com,,,,,,,,,
almawisconsin.com/,almawisconsin.com,,,,,,,,,
alpenacounty.org/,alpenacounty.org,,,,,,,,,
alphaboro.org/,alphaboro.org,,,,,,,,,
www.alpharetta.ga.us/,alpharetta.ga.us,,,,,,,,,
www.alpinecity.org/,alpinecity.org,,,,,,,,,
alpinenj07620.org/index.html,alpinenj07620.org,,,,,,,,,
alpinetwp.org/,alpinetwp.org,,,,,,,,,
www.alsde.edu/Pages/home.aspx,alsde.edu,,,,,,,,,
www.alsteadnh.org/,alsteadnh.org,,,,,,,,,
altamonte.org/,altamonte.org,,,,,,,,,
altamontil.net/,altamontil.net,,,,,,,,,
altamontvillage.org/Pages/index,altamontvillage.org,,,,,,,,,
www.alton-il.com/,alton-il.com,,,,,,,,,
www.altoona-iowa.com/,altoona-iowa.com,,,,,,,,,
alvaok.org/,alvaok.org,,,,,,,,,
www.amador-city.com/amador-city-government.html,amador-city.com/government,,,,,,,,,
www.amador-city.com/,amadorcity.net,,,,,,,,,
www.ambridgeboro.org/,ambridgeboro.org,,,,,,,,,
www.ameliacova.com/,ameliacova.com,,,,,,,,,
www.americansamoa.travel/,americansamoa.travel,,,,,,,,,
#N/A,americorpsconnect.org,,Corporation for National and Community Service,,,,,,,
amerywisconsin.org/,amerywisconsin.org,,,,,,,,,
www.amherst.ny.us/,amherst.ny.us,,,,,,,,,
amityville.com/,amityville.com,,,,,,,,,
