target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts_preloaded,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
new-remote.nga.gov,nga.gov,gov,True,https://new-remote.nga.gov/logon/LogonPoint/index.html,nga.gov,gov,new-remote.nga.gov,True,200.0,text/html,True,True,National Gallery of Art,National Gallery of Art,Executive,False,"[""pulse""]",,2024-04-20T01:15:27.489Z,completed,completed,completed,completed,completed,completed,completed,False,,,,,True,,False,,,0.0,,True,0.0,661.7,,,True,False,NetScaler Gateway,,,,,,,,,,,,,False,False,True,https://new-remote.nga.gov/logon/LogonPoint/index.html,True,200.0,text/html,,,,False,True,https://new-remote.nga.gov/logon/LogonPoint/index.html,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
tenable.nga.gov,nga.gov,gov,True,https://tenable.nga.gov/remote/login?lang=en,nga.gov,gov,tenable.nga.gov,True,200.0,text/html,True,True,National Gallery of Art,National Gallery of Art,Executive,,"[""pulse""]",,2024-04-20T05:09:32.926Z,completed,completed,completed,unknown_error,completed,completed,completed,False,,,,"[""\""password\"""",""type=\""password\""""]",False,,False,,,0.0,,True,0.0032136692708333,840.5,,,True,False,Please Login,,,,,,,,,,,en,,False,False,False,https://tenable.nga.gov/robots.txt,False,403.0,text/html,,,,False,False,https://tenable.nga.gov/sitemap.xml,False,403.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
librarymedia.nga.gov,nga.gov,gov,,,,,,,,,,,National Gallery of Art,National Gallery of Art,Executive,False,"[""pulse""]",,2024-04-20T01:00:22.440Z,timeout,timeout,completed,completed,timeout,completed,completed,True,cloudflare.net,,,,,,,,,,"["".af.mil"","".compliance.af.mil"","".lbl.gov"","".www.compliance.af.mil"",""librarymedia.nga.gov"",""www.compliance.af.mil""]",,,,,,False,False,,,,,,,,,,,,,,,False,False,https://librarymedia.nga.gov/robots.txt,False,522.0,text/html,,,,False,False,https://librarymedia.nga.gov/sitemap.xml,False,522.0,text/html,,,,,,,,,,,,,
files.nga.gov,nga.gov,gov,,,,,,,,,,,National Gallery of Art,National Gallery of Art,Executive,,"[""pulse""]",,2024-04-20T03:24:24.606Z,unknown_error,unknown_error,completed,unknown_error,unknown_error,unknown_error,unknown_error,True,cloudflare.net,,,,,,,,,,,,,,,,True,False,Kiteworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subscribe.nga.gov,nga.gov,gov,False,https://subscribe.nga.gov/,nga.gov,gov,subscribe.nga.gov,True,200.0,text/html,True,True,National Gallery of Art,National Gallery of Art,Executive,False,"[""gov_man""]",,2024-04-20T05:13:27.165Z,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,False,,"[""eep.io"",""static.mailchimpsites.com""]",2.0,"[""subscribe.nga.gov""]",True,0.0,289.799,,,True,False,subscribe.nga.gov is connected with Mailchimp,Mailchimp domain page for subscribe.nga.gov,,subscribe.nga.gov is connected with Mailchimp,,,,https://static.mailchimpsites.com/images/parked-pages/Hero-Flowergirl.gif,,https://mailchimp.com/features/domains/?utm_source=parked_page&utm_medium=user_domain&utm_campaign=domain_logo,,,,False,True,False,https://subscribe.nga.gov/robots.txt,True,200.0,text/plain,102.0,,,False,False,https://subscribe.nga.gov/sitemap.xml,False,404.0,text/html,10828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
login.libauth.nga.gov,nga.gov,gov,,,,,,,,,,,National Gallery of Art,National Gallery of Art,Executive,,"[""pulse""]",,2024-04-20T00:49:17.530Z,unknown_error,unknown_error,completed,unknown_error,unknown_error,unknown_error,unknown_error,True,cloudflare.net,,,,,,,,,,"["".nga.gov""]",,,,,,False,False,NGA Logon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libauth.nga.gov,nga.gov,gov,,,,,,,,,,,National Gallery of Art,National Gallery of Art,Executive,True,"[""pulse""]",,2024-04-20T00:47:18.239Z,unknown_error,unknown_error,completed,completed,unknown_error,completed,completed,True,cloudflare.net,,,,,,,,,,"["".nga.gov""]",,,,,,False,False,NGA Logon,,,,,,,,,,,,,,True,False,https://libauth.nga.gov/robots.txt,True,200.0,text/plain,26.0,,,False,False,https://libauth.nga.gov/sitemap.xml,False,404.0,text/html,,,,,,,,,,,,,
give.nga.gov,nga.gov,gov,,,,,,,,,,,National Gallery of Art,National Gallery of Art,Executive,,"[""pulse""]",,2024-04-20T03:27:33.583Z,unknown_error,unknown_error,completed,unknown_error,unknown_error,unknown_error,unknown_error,True,cloudflare.net,,,,,,,,,,"["".nga.gov""]",,,,,,True,False,Become a National Member,National Gallery of Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libraryimage.nga.gov,nga.gov,gov,,,,,,,,,,,National Gallery of Art,National Gallery of Art,Executive,,"[""pulse""]",,2024-04-20T03:33:40.340Z,unknown_error,unknown_error,completed,unknown_error,unknown_error,unknown_error,unknown_error,True,cloudflare.net,,,,,,,,,,,,,,,,True,False,Cantaloupe Image Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shop.nga.gov,nga.gov,gov,,,,,,,,,,,National Gallery of Art,National Gallery of Art,Executive,True,"[""pulse"",""gov_man""]",,2024-04-20T00:52:05.128Z,timeout,unknown_error,completed,completed,timeout,completed,completed,False,,,,,,,,,,,"["".nga.gov"","".shop.nga.gov"",""shop.nga.gov""]",,,,,,True,False,National Gallery of Art Shop | Fine Museum Gifts | National Gallery of Art Shop,,,,,,,,,,,,,,True,False,https://shop.nga.gov/robots.txt,True,200.0,text/plain,849.0,1.0,"[""https://shop.nga.gov/media/sitemap/sitemap_nga.xml""]",False,False,https://shop.nga.gov/sitemap.xml,False,404.0,text/html,,,,,,,,,,,,,
media.nga.gov,nga.gov,gov,True,https://www.nga.gov/,nga.gov,gov,www.nga.gov,True,200.0,text/html,True,False,National Gallery of Art,National Gallery of Art,Executive,True,"[""pulse""]",,2024-04-20T04:45:31.616Z,completed,completed,completed,completed,completed,completed,completed,True,cloudflare.net,Adobe Experience Manager,,,True,,False,,"[""cdn.mouseflow.com"",""dev.visualwebsiteoptimizer.com"",""googleads.g.doubleclick.net"",""media.nga.gov"",""rum-collector-2.pingdom.net"",""rum-static.pingdom.net"",""sadmin.brightcove.com"",""stats.g.doubleclick.net"",""unpkg.com"",""www.google-analytics.com"",""www.google.com"",""www.googletagmanager.com""]",12.0,"["".nga.gov""]",True,0.0325145625,603.2,"[""about"",""privacy""]","[""accessibility"",""privacy policy""]",True,False,National Gallery of Art,"The National Gallery of Art serves the nation by welcoming all people to explore and experience art, creativity, and our shared humanity. Admission is always free.",,,,,,,,,,en,,False,True,False,https://media.nga.gov/robots.txt,True,200.0,text/plain,171.0,,,False,False,https://media.nga.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
