target_url,target_url_domain,target_url_top_level_domain,final_url,final_url_domain,final_url_website,final_url_top_level_domain,canonical_link,final_url_mimetype,final_url_live,target_url_redirects,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,final_url_status_code,target_url_404_test,scan_date,primary_scan_status,not_found_scan_status,robots_txt_scan_status,sitemap_xml_scan_status,dns_scan_status,dns_ipv6,dns_hostname,source_list,cms,cloud_dot_gov_pages,required_links_url,required_links_text,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_count,uswds_usa_classes,uswds_inline_css,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,og_article_published_final_url,og_article_modified_final_url,og_title_final_url,og_description_final_url,main_element_present_final_url,robots_txt_final_url,robots_txt_detected,robots_txt_final_url_live,robots_txt_target_url_redirects,robots_txt_final_url_status_code,robots_txt_final_url_mimetype,robots_txt_final_url_filesize_in_bytes,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_final_url,sitemap_xml_detected,sitemap_xml_final_url_live,sitemap_xml_target_url_redirects,sitemap_xml_final_url_status_code,sitemap_xml_final_url_mimetype,sitemap_xml_final_url_filesize_in_bytes,sitemap_xml_count,sitemap_xml_pdf_count,third_party_service_domains,third_party_service_count,viewport_meta_tag,cookie_domains,login_provider,login_detected,searchgov,search_detected,dap_detected_final_url,dap_parameters_final_url
www.skysoldiers.army.mil,army.mil,mil,https://www.skysoldiers.army.mil/,army.mil,www.skysoldiers.army.mil,mil,,text/html,True,False,True,True,Army,Army Europe 173rd Infantry Brigade Combat Team,Executive,200.0,True,2024-01-20T05:02:15.992Z,completed,completed,completed,completed,completed,False,edgekey.net,"[""mil""]",,False,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""about us"",""accessibility"",""no fear act"",""freedom of information act"",""usa.gov""]",0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://www.skysoldiers.army.mil/robots.txt,True,True,False,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",https://www.skysoldiers.army.mil/sitemap.xml,False,False,False,404.0,text/html,,,,"[""media.defense.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,False,"["".army.mil"","".skysoldiers.army.mil"",""www.skysoldiers.army.mil""]",,,,True,True,
www.usarpac.army.mil,army.mil,mil,,,,,,,,,,,Army,Army Pacific,Executive,,,2024-01-20T05:01:55.757Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".army.mil"","".usarpac.army.mil""]",,,,,,
www.armyreservewarriorcitizen.mil,armyreservewarriorcitizen.mil,mil,,,,,,,,,,,Army,U.S. Army Reserve Strategic Communication/Warrior Citizen),Executive,,,2024-01-20T05:15:10.226Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyberdefensereview.army.mil,army.mil,mil,,,,,,,,,,,Army,Cyber Defense Review,Executive,,,2024-01-20T06:36:29.260Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".army.mil"","".cyberdefensereview.army.mil"",""cyberdefensereview.army.mil""]",,,,,,
www.tobyhanna.army.mil,army.mil,mil,,,,,,,,,,,Army,Tobyhanna Army Depot,Executive,,,2024-01-20T05:16:20.182Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".army.mil"","".tobyhanna.army.mil"","".www.tobyhanna.army.mil""]",,,,,,
www.usanato.army.mil,army.mil,mil,,,,,,,,,,,Army,U.S. Army Nato,Executive,,,2024-01-20T05:16:12.578Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".army.mil"","".usanato.army.mil"","".www.usanato.army.mil"",""www.usanato.army.mil""]",,,,,,
afrims.health.mil,health.mil,mil,https://afrims.health.mil/,health.mil,afrims.health.mil,mil,,text/html,True,False,True,True,Army,U.S. ARMY MEDICAL DIRECTORATE - ARMED FORCES RESEARCH INSTITUTE of MEDICAL SCIENCES (USAMD-AFRIMS),Executive,200.0,True,2024-01-20T05:18:41.634Z,completed,completed,completed,completed,completed,True,edgekey.net,"[""mil""]",,False,"[""about"",""foia"",""privacy"",""usa.gov""]","[""about us"",""no fear act"",""foia"",""privacy policy"",""usa.gov""]",0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,,,,,False,https://afrims.health.mil/robots.txt,True,True,False,200.0,text/plain,558.0,,"[""/SiteMap.aspx""]",https://afrims.health.mil/sitemap.xml,False,False,False,404.0,text/html,,,,"[""fonts.googleapis.com"",""fonts.gstatic.com"",""media.defense.gov"",""phil.cdc.gov"",""platform.twitter.com"",""scontent-sea1-1.xx.fbcdn.net"",""search.usa.gov"",""static.xx.fbcdn.net"",""syndication.twitter.com"",""www.facebook.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",12.0,True,"["".afrims.health.mil"","".health.mil"",""afrims.health.mil""]",,,,True,True,
www.ccad.army.mil,army.mil,mil,,,,,,,,,,,Army,Corpus Christi Army Depot,Executive,,,2024-01-20T06:38:01.379Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".army.mil"","".ccad.army.mil"","".www.ccad.army.mil"",""www.ccad.army.mil""]",,,,,,
www.pscc.army.mil,army.mil,mil,,,,,,,,,,,Army,ASC Packaging Storage and Containerization Center,Executive,,,2024-01-20T06:34:15.251Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".army.mil"","".pscc.army.mil"","".www.pscc.army.mil"",""www.pscc.army.mil""]",,,,,,
www.avmc.army.mil,army.mil,mil,,,,,,,,,,,Army,U.S. Army Combat Capabilities Development: Aviation and Missile Center,Executive,,,2024-01-20T06:39:44.279Z,dns_resolution_error,unknown_error,completed,completed,completed,False,edgekey.net,"[""mil""]",,,,,,,,,,,,,,,,,,,,https://www.avmc.army.mil/robots.txt,True,True,False,200.0,text/plain,582.0,,"[""/DesktopModules/SiteData/SiteMap.ashx""]",https://www.avmc.army.mil/sitemap.xml,False,False,False,404.0,text/html,,,,,,,"["".army.mil"","".avmc.army.mil"","".www.avmc.army.mil""]",,,,,,
www.usarj.army.mil,army.mil,mil,,,,,,,,,,,Army,U.S. Army Japan,Executive,,,2024-01-20T05:14:02.476Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".army.mil"","".usarj.army.mil""]",,,,,,
www.peosoldier.army.mil,army.mil,mil,,,,,,,,,,,Army,Program Executive Office Soldier,Executive,,,2024-01-20T05:15:27.847Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".army.mil"","".peosoldier.army.mil""]",,,,,,
www.2id.korea.army.mil,army.mil,mil,,,,,,,,,,,Army,2nd Infantry Division (2ID) - Korea,Executive,,,2024-01-20T04:54:12.330Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".2id.korea.army.mil"","".army.mil"","".www.2id.korea.army.mil"",""www.2id.korea.army.mil""]",,,,,,
www.band.eur.army.mil,army.mil,mil,,,,,,,,,,,Army,Army Europe Band & Chorus,Executive,,,2024-01-20T05:01:34.837Z,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,False,,"[""mil""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"["".army.mil"","".band.eur.army.mil"","".www.band.eur.army.mil""]",,,,,,
