target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
jira.epa.gov,epa.gov,.gov,True,https://wamssoprd.epa.gov/oamfed/idp/samlv20?SAMLRequest=fZFdT8IwFIb/ytL70ln5bIAExSgJAoHphTem2w5Qs7W1p5v%2BfMtAxcRwedrzvHmfnCHKsrBiUvm9XsN7Beijz7LQKJqPEamcFkaiQqFlCSh8JjaTx7ngrVhYZ7zJTEHOkMuERATnldEkmk1HZLm4my/vZ4vXft7rDLZXnMbQz2gbrlOadvOYyq3kPIV%2Br5OlJHoGh4EdkRAVAhArmGn0UvvwFPM2jbuU8yTm4qot4sELiabBR2npG2rvvUXB2IcsEY11eQusbO1MzYwst5AzlVt2cKh5iF%2Bd5G6UzpXeXfZKj0soHpJkRVfLTUKiybfrrdFYleA24GqVwdN6/tvlTTn5U8MW1U5pZIGrC/BNl%2BwEk/HwMIrG2o3/44fsfOM4/T3t%2BAs%3D&RelayState=ebfe0399-a4d7-49f7-9b15-6028f7a17587,epa.gov,gov,wamssoprd.epa.gov,True,200.0,text/html,True,False,Environmental Protection Agency,Environmental Protection Agency,Executive,False,"[""pulse""]",False,2024-06-22T02:14:43.708Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,True,"{""agency"":""EPA""}","[""dap.digitalgov.gov"",""script.crazyegg.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".epa.gov"","".wamssoprd.epa.gov"",""wamssoprd.epa.gov""]",True,0.0067633039550781,603.0,"[""privacy""]",,True,True,EPA Login,,,,,,,,,,,en,,True,True,False,https://jira.epa.gov/robots.txt,True,200.0,text/plain,733.0,,,False,False,https://wamssoprd.epa.gov/oamfed/idp/samlv20?SAMLRequest=fZHRTsIwFIZfZen96FYbFxogQTFKgkDY9MIb07UFarZ29nTTx7cMVEwMl6c935//yxkBr6uGTVu/Nxv13irw0WddGWD9xxi1zjDLQQMzvFbAvGD59HHByCBhjbPeCluhM%2BQywQGU89oaFM1nY7Ra3i1W9/PlKx1m2VDKYZwRJWMqyzQuU5nFlKfbkgqeiUSg6Fk5COwYhagQANCquQHPjQ9PCaFxch0TUiSEpZRd0RcUzYKPNtz31N77BhjGH7wGsI2TA9Xwwc522PJ6qyTWssEHh46E%2BPVJ7kYbqc3usld5XAL2UBTreL3KCxRNv11vrYG2Vi5XrtNCPW0Wv13etOM/NZqq3WkDOHBdpXzfRZxgNBkdRtZbu8l//Aifbxynv6edfAE%3D&RelayState=6b671738-5cd4-4d62-921c-4a0013be213b,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,"[""usa-button"",""usa-content"",""usa-footer"",""usa-grid-container"",""usa-nav"",""usa-overlay""]",20.0,0.0,0.0,,0.0,20.0
3dhrs.epa.gov,epa.gov,.gov,,,,,,,,,,,Environmental Protection Agency,Environmental Protection Agency,Executive,True,"[""omb_idea"",""mil-sites2""]",False,2024-06-22T04:22:43.597Z,timeout,completed,completed,completed,completed,completed,completed,completed,True,,,,,,,,,,,"[""3dhrs.epa.gov""]",,0.21,626.0,,,True,True,Human Respiratory System | US EPA,,,,,,,,,,,,,,False,False,https://3dhrs.epa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://3dhrs.epa.gov/sitemap.xml,False,404.0,text/html,,,,,,,,,,,,,,
nsteps.epa.gov,epa.gov,.gov,False,https://nsteps.epa.gov/,epa.gov,gov,nsteps.epa.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,True,"[""dap"",""omb_idea"",""mil-sites2""]",False,2024-06-22T02:15:01.264Z,completed,completed,completed,completed,completed,completed,completed,completed,True,cloud.gov,WordPress,,,True,,True,"{""agency"":""EPA""}","[""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""s3-us-gov-west-1.amazonaws.com"",""script.crazyegg.com"",""stackpath.bootstrapcdn.com"",""www.epa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",9.0,"["".epa.gov"","".nsteps.epa.gov"",""nsteps.epa.gov""]",True,0.002535765625,997.7,"[""about"",""foia"",""inspector"",""privacy"",""usa.gov""]","[""accessibility"",""foia"",""usa.gov""]",True,True,N-STEPS Online,,,,,,,,,,https://nsteps.epa.gov/,en-US,,False,True,False,https://nsteps.epa.gov/robots.txt,True,200.0,text/plain,67.0,,,False,False,https://nsteps.epa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
aqsdr1.epa.gov,epa.gov,.gov,,,,,,,,,,,Environmental Protection Agency,Environmental Protection Agency,Executive,,"[""pulse""]",False,2024-06-22T01:52:42.511Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
workplaceproxy.epa.gov,epa.gov,.gov,False,https://workplaceproxy.epa.gov/,epa.gov,gov,workplaceproxy.epa.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,True,"[""pulse"",""omb_idea""]",False,2024-06-22T02:29:27.605Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,"[""script.crazyegg.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",3.0,"["".epa.gov""]",True,0.0,205.0,,,True,True,Remote Access Sign On | One EPA Web,,,,,,,,,,,en,,False,False,False,https://workplaceproxy.epa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://workplaceproxy.epa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
rtp-piv-evdi.epa.gov,epa.gov,.gov,,,,,,,,,,,Environmental Protection Agency,Environmental Protection Agency,Executive,,"[""pulse""]",False,2024-06-22T04:50:08.127Z,address_unreachable,address_unreachable,completed,unknown_error,address_unreachable,address_unreachable,completed,address_unreachable,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methane.epa.gov,epa.gov,.gov,False,https://ghgreporting.epa.gov/ghg/index.htm,epa.gov,gov,ghgreporting.epa.gov,False,403.0,text/html,True,False,Environmental Protection Agency,Environmental Protection Agency,Executive,True,"[""dap"",""pulse""]",False,2024-06-22T02:18:51.107Z,completed,execution_context_destroyed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,,0.0,"[""ghgreporting.epa.gov""]",False,0.0,414.3,,,True,True,e-GGRT,,,,,,,,,,,,,False,False,False,https://methane.epa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://methane.epa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
fire.airnow.gov,airnow.gov,.gov,False,https://fire.airnow.gov/,airnow.gov,gov,fire.airnow.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,True,"[""dap"",""omb_idea"",""mil-sites2""]",False,2024-06-22T00:34:44.334Z,completed,completed,completed,completed,completed,completed,completed,completed,True,cloudfront.net,,,,True,,True,"{""agency"":""EPA""}","[""code.ionicframework.com"",""dap.digitalgov.gov"",""fonts.googleapis.com"",""fonts.gstatic.com"",""s3-us-west-2.amazonaws.com"",""script.crazyegg.com"",""server.arcgisonline.com"",""services.arcgisonline.com"",""static.arcgis.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",11.0,"["".airnow.gov"","".fire.airnow.gov""]",True,0.0281141712239583,636.299,"[""about"",""/es""]","[""español""]",True,True,Fire and Smoke Map,,,,,,,,,,,,,False,False,False,https://fire.airnow.gov/robots.txt,False,404.0,text/html,,,,False,False,https://fire.airnow.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
map23.epa.gov,epa.gov,.gov,False,https://map23.epa.gov/arcgis/rest/,epa.gov,gov,map23.epa.gov,True,200.0,text/html,True,True,Environmental Protection Agency,Environmental Protection Agency,Executive,True,"[""pulse"",""omb_idea"",""mil-sites2""]",False,2024-06-22T02:16:10.358Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,True,"{""agency"":""EPA""}","[""dap.digitalgov.gov"",""script.crazyegg.com"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,,False,0.0,201.399,,,True,True,Folder: /,,,,,,,,,,,en,,False,True,False,https://map23.epa.gov/robots.txt,True,200.0,text/plain,39.0,,,False,False,https://map23.epa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
gispub10.epa.gov,epa.gov,.gov,,,,,,,,,,,Environmental Protection Agency,Environmental Protection Agency,Executive,,"[""pulse""]",False,2024-06-22T02:00:04.445Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
