target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
webapps2.ncua.gov,ncua.gov,.gov,False,https://webapps2.ncua.gov/,ncua.gov,gov,webapps2.ncua.gov,True,200.0,text/html,True,True,National Credit Union Administration,National Credit Union Administration,Executive,True,"[""dap"",""pulse"",""omb_idea"",""mil-sites2""]",False,2024-06-01T01:26:03.012Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,False,,,0.0,,False,0.0,0.0,,,True,True,IIS Windows Server,,,,,,,,,,,,,False,False,False,https://webapps2.ncua.gov/robots.txt,False,404.0,text/html,,,,False,False,https://webapps2.ncua.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
cuodataservice.ncua.gov,ncua.gov,.gov,False,https://cuodataservice.ncua.gov/,ncua.gov,gov,cuodataservice.ncua.gov,True,200.0,text/html,True,True,National Credit Union Administration,National Credit Union Administration,Executive,True,"[""omb_idea""]",False,2024-06-01T05:37:46.044Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,False,,,,,False,,False,,,0.0,,False,0.0,0.0,,,,,IIS Windows Server,,,,,,,,,,,,,False,False,False,https://cuodataservice.ncua.gov/robots.txt,False,404.0,text/html,,,,False,False,https://cuodataservice.ncua.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
swap.ncua.gov,ncua.gov,.gov,,,,,,,,,,,National Credit Union Administration,National Credit Union Administration,Executive,,"[""pulse""]",False,2024-06-01T04:16:42.343Z,address_unreachable,address_unreachable,completed,unknown_error,address_unreachable,address_unreachable,completed,address_unreachable,False,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cusoregistry.ncua.gov,ncua.gov,.gov,False,https://cusoregistry.ncua.gov/,ncua.gov,gov,cusoregistry.ncua.gov,True,200.0,text/html,True,True,National Credit Union Administration,National Credit Union Administration,Executive,True,"[""dap"",""pulse"",""omb_idea""]",False,2024-06-01T03:02:55.845Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,False,,True,"{""agency"":""NCUA""}","[""dap.digitalgov.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",3.0,"["".cusoregistry.ncua.gov"","".ncua.gov""]",True,0.0,2464.299,"[""privacy""]",,True,True,CUSO Registry,,,,,,,,,,,en,,False,False,False,https://cusoregistry.ncua.gov/robots.txt,False,404.0,unknown,,,,False,False,https://cusoregistry.ncua.gov/sitemap.xml,False,404.0,unknown,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
securexfer.ncua.gov,ncua.gov,.gov,True,https://securexfer.ncua.gov/Web/Account/Login.htm,ncua.gov,gov,securexfer.ncua.gov,True,200.0,text/html,True,True,National Credit Union Administration,National Credit Union Administration,Executive,False,"[""pulse"",""omb_idea""]",False,2024-06-01T04:23:35.596Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,"[""\""password\"""","">Forgot Password</a>"",""type=\""password\""""]",False,,False,,,0.0,"[""securexfer.ncua.gov""]",False,0.0,752.2,,,True,True,Server Login,,,,,,,,,,,,,False,False,False,https://securexfer.ncua.gov/robots.txt,False,403.0,text/html,,,,False,True,https://securexfer.ncua.gov/Web/Account/Login.htm,True,200.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
answer.mycreditunion.gov,mycreditunion.gov,.gov,True,https://answer.mycreditunion.gov/Pkb/,mycreditunion.gov,gov,answer.mycreditunion.gov,True,200.0,text/html,True,True,National Credit Union Administration,National Credit Union Administration,Executive,True,"[""pulse"",""omb_idea"",""mil-sites2""]",False,2024-06-01T04:35:59.216Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,True,,False,,"[""p.typekit.net"",""ssl.google-analytics.com"",""stats.g.doubleclick.net"",""use.typekit.net"",""www.google.com""]",5.0,"["".answer.mycreditunion.gov"",""answer.mycreditunion.gov""]",True,0.0704301979166666,332.399,"[""about"",""privacy"",""usa.gov"",""espanol"",""/es""]","[""accessibility"",""freedom of information act"",""privacy policy"",""usa.gov"",""español""]",True,True,Find an Answer | MyCreditUnion.gov,Find an Answer Page for the NCUA Consumer Assistance Center,"NCUA Consumer Assistance Center, Consumer Assistance Center",,,,,,,,https://answer.mycreditunion.gov/pkb,en,,True,False,True,https://answer.mycreditunion.gov/Pkb/robots.txt,True,200.0,text/plain,,,,False,True,https://answer.mycreditunion.gov/Pkb/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
stageapp3.ncua.gov,ncua.gov,.gov,,,,,,,,,,,National Credit Union Administration,National Credit Union Administration,Executive,,"[""pulse""]",False,2024-06-01T03:44:24.665Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complaint.mycreditunion.gov,mycreditunion.gov,.gov,True,https://complaint.mycreditunion.gov/AppraisalRelatedComplaint/,mycreditunion.gov,gov,complaint.mycreditunion.gov,True,200.0,text/html,True,True,National Credit Union Administration,National Credit Union Administration,Executive,True,"[""dap"",""pulse"",""omb_idea"",""mil-sites2""]",False,2024-06-01T02:55:49.993Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,"[""\""userid\""""]",True,,True,"{""agency"":""NCUA""}","[""dap.digitalgov.gov"",""p.typekit.net"",""performance.typekit.net"",""ssl.google-analytics.com"",""stats.g.doubleclick.net"",""use.typekit.net"",""www.google-analytics.com"",""www.google.com"",""www.googletagmanager.com""]",9.0,"["".complaint.mycreditunion.gov"","".mycreditunion.gov"",""complaint.mycreditunion.gov""]",True,0.0648803059895833,287.899,"[""about"",""privacy"",""usa.gov"",""espanol"",""/es""]","[""accessibility"",""freedom of information act"",""privacy policy"",""usa.gov"",""español""]",True,True,Submit an Appraisal Related Complaint | MyCreditUnion.gov,Submit an Appraisal Related Complaint Page for the NCUA Consumer Assistance Center,"NCUA Consumer Assistance Center, Consumer Assistance Center",,,,,,,,https://complaint.mycreditunion.gov/appraisalrelatedcomplaint,en,,True,False,True,https://complaint.mycreditunion.gov/AppraisalRelatedComplaint/robots.txt,True,200.0,text/plain,,,,False,True,https://complaint.mycreditunion.gov/AppraisalRelatedComplaint/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
espanol.mycreditunion.gov,mycreditunion.gov,.gov,False,https://espanol.mycreditunion.gov/,mycreditunion.gov,gov,espanol.mycreditunion.gov,True,200.0,text/html,True,True,National Credit Union Administration,National Credit Union Administration,Executive,False,"[""dap"",""pulse"",""omb_idea"",""usagov"",""mil-sites2""]",False,2024-06-01T02:57:03.721Z,completed,completed,completed,completed,completed,completed,completed,completed,True,amazonaws.com,,,,True,,True,"{""agency"":""NCUA""}","[""c.bing.com"",""c.clarity.ms"",""dap.digitalgov.gov"",""p.typekit.net"",""s.clarity.ms"",""use.typekit.net"",""www.clarity.ms"",""www.google-analytics.com"",""www.googletagmanager.com""]",9.0,"["".espanol.mycreditunion.gov"","".mycreditunion.gov""]",True,0.86609413285319,615.5,"[""about"",""privacy"",""usa.gov"",""/es""]","[""usa.gov""]",True,True,Página de inicio | MyCreditUnion.gov,,,,,,,,,,https://espanol.mycreditunion.gov/,es,,True,True,False,https://espanol.mycreditunion.gov/robots.txt,True,200.0,text/plain,2174.0,,"[""https://espanol.mycreditunion.gov/sitemap.xml""]",True,False,https://espanol.mycreditunion.gov/sitemap.xml,True,200.0,text/xml,51109.0,264.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
www.mycreditunion.gov,mycreditunion.gov,.gov,True,https://mycreditunion.gov/,mycreditunion.gov,gov,mycreditunion.gov,True,200.0,text/html,True,False,National Credit Union Administration,National Credit Union Administration,Executive,True,"[""gov"",""2020_eot"",""gov_man""]",False,2024-06-01T02:49:13.559Z,completed,completed,completed,completed,completed,completed,unknown_error,completed,True,amazonaws.com,,,,True,,True,"{""agency"":""NCUA""}","[""c.bing.com"",""c.clarity.ms"",""dap.digitalgov.gov"",""p.typekit.net"",""use.typekit.net"",""w.clarity.ms"",""www.clarity.ms"",""www.google-analytics.com"",""www.googletagmanager.com""]",9.0,"["".mycreditunion.gov""]",True,0.8432353841552735,448.099,"[""about"",""privacy"",""usa.gov"",""espanol"",""/es""]","[""accessibility"",""freedom of information act"",""privacy policy"",""usa.gov"",""español""]",,,Home Page | MyCreditUnion.gov,,,,,,,,,,https://mycreditunion.gov/,en,,True,True,True,https://mycreditunion.gov/robots.txt,True,200.0,text/plain,2166.0,,"[""https://mycreditunion.gov/sitemap.xml""]",True,True,https://mycreditunion.gov/sitemap.xml,True,200.0,application/xml,49805.0,264.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
