target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count
vmsmaps.nmfs.noaa.gov,noaa.gov,.gov,False,https://vmsmaps.nmfs.noaa.gov/,noaa.gov,gov,vmsmaps.nmfs.noaa.gov,False,403.0,text/html,True,True,Department of Commerce,National Oceanic and Atmospheric Administration,Executive,True,"[""pulse""]",,2024-08-31T04:58:03.593Z,completed,completed,completed,completed,completed,completed,completed,completed,True,edgekey.net,,,,False,,False,,,,,0.0,,False,0.0,115.5,,,True,True,403 Forbidden,,,,,,,,,,,,,False,False,False,https://vmsmaps.nmfs.noaa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://vmsmaps.nmfs.noaa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
hermes.nesdis-hq.noaa.gov,noaa.gov,.gov,,,,,,,,,,,Department of Commerce,National Oceanic and Atmospheric Administration,Executive,,"[""pulse""]",,2024-08-31T02:50:13.994Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,False,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portal.uspto.gov,uspto.gov,.gov,,,,,,,,,,,Department of Commerce,USPTO,Executive,False,"[""pulse"",""2020_eot"",""usagov""]",,2024-08-31T01:10:33.386Z,timeout,completed,completed,completed,completed,completed,completed,completed,True,,,,,,,,,,"G-CD30TTEK1F,G-CSLL4ZEK4L",,,"["".uspto.gov""]",,0.0006313020833333,293.9,,,True,True,Public PAIR to be retired | USPTO,"Public PAIR application search tool, to be retired and redirected to Patent Center",,,,,,,,,,,,,False,True,https://www.uspto.gov/patents/public-pair-be-retired,True,200.0,text/html,,,,False,True,https://www.uspto.gov/patents/public-pair-be-retired,True,200.0,text/html,,,,,,,,,,,,,,,
nosc.noaa.gov,noaa.gov,.gov,False,https://nosc.noaa.gov/,noaa.gov,gov,nosc.noaa.gov,True,200.0,text/html,True,True,Department of Commerce,National Oceanic and Atmospheric Administration,Executive,True,"[""dap"",""pulse"",""omb_idea"",""2020_eot""]",True,2024-08-31T01:49:57.850Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,,True,True,True,"{""agency"":""DOC"",""subagency"":""NOAA""}",20240712 v8.2 - GA4,"G-XYM0HRFWFB,G-CSLL4ZEK4L","[""dap.digitalgov.gov"",""search.usa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",4.0,"["".noaa.gov""]",False,0.0503405660807291,720.0,"[""foia"",""privacy"",""usa.gov""]","[""accessibility"",""foia"",""privacy policy"",""usa.gov""]",True,True,Home | NOAA Observing Systems Council (NOSC),The NOAA Observing Systems Council is a cross-NOAA body that makes recommendations to NOAA leadership about managing and investing in NOAA's large collection of observing systems.,,,,,,,,,https://nosc.noaa.gov/index.php,en-US,,False,True,False,https://nosc.noaa.gov/robots.txt,True,200.0,text/plain,989.0,,"[""https://nosc.noaa.gov/sitemap.xml""]",True,False,https://nosc.noaa.gov/sitemap.xml,True,200.0,text/xml,15769.0,98.0,25.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
mojo.it.census.gov,census.gov,.gov,,,,,,,,,,,Department of Commerce,Census Bureau,Executive,,"[""pulse""]",,2024-08-31T05:59:56.170Z,timeout,timeout,completed,timeout,timeout,timeout,completed,timeout,False,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csrc.nist.gov,nist.gov,.gov,False,https://csrc.nist.gov/,nist.gov,gov,csrc.nist.gov,True,200.0,text/html,True,True,Department of Commerce,National Institute of Standards and Technology,Executive,True,"[""dap"",""pulse"",""omb_idea"",""2020_eot""]",True,2024-08-31T06:26:00.614Z,completed,completed,completed,completed,completed,completed,completed,completed,True,amazonaws.com,,,,True,,True,"{""agency"":""nist"",""subagency"":""csrc"",""pua"":""UA-66610693-15"",""yt"":""true"",""exts"":""xsd,xml,wav,mpg,mpeg,avi,rtf,webm,ogg,ogv,oga,map,otf,eot,svg,ttf,woff""}",20240712 v8.2 - GA4,"UA-66610693-1,G-TSQ0PLGJZP,G-CSLL4ZEK4L","[""dap.digitalgov.gov"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.youtube.com""]",4.0,"["".nist.gov""]",True,0.1756285431315104,1588.099,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""accessibility"",""no fear act"",""foia"",""vulnerability disclosure"",""usa.gov""]",True,True,NIST Computer Security Resource Center | CSRC,"CSRC provides access to NIST's cybersecurity- and information security-related projects, publications, news and events.",,,,,,,,,,en-us,,False,False,True,https://csrc.nist.gov/,True,200.0,text/html,,,,False,False,https://csrc.nist.gov/sitemap.xml,False,404.0,unknown,,,,20.0,0.0,0.0,0.0,"[""usa-accordion"",""usa-banner""]",True,20.0,9.0,20.0,v3.7.1,100.0,169.0
tasefiling.gov,tasefiling.gov,.gov,True,https://itatasb2c.b2clogin.com/273317c2-6fdc-4d1f-8000-6d9fc6ca17a3/b2c_1_tasportalapp/oauth2/v2.0/authorize?client_id=380dcc7e-7e25-4594-90d9-ca2efc305ba3&redirect_uri=https%3A%2F%2Ftasefiling.powerappsportals.us%2Fsignin-aad-b2c_1&response_type=code%20id_token&scope=openid&state=OpenIdConnect.AuthenticationProperties%3DQEWEKS6xV9qbcObCo0sY8O6knp4crh-LKiNFHZQ1VQXjgS29uM2LFdFTTpFCgjB7e4S0IzkUiwa9rqiGrkflx0RurLb0QMKkqcF088_DPLx40u_PSCtHBFVLhrvurXNRjZoYmrtuJZMLoN-FKH29O8Xsz6YSAgiBPBBjA2JbkUJvI_U1gQiLI4zoI_I_xEOekf8o7KD_HrtZ3csSieNTc8vzAln7vs6a_nq5HXo-1-gA-zk38ragaP25k28VnQBbK111POb_kSb4SMsYo1hWr2cUEtZcZxi28Wob6XPuLi-8hadL3dh-xwQPEh-D08bWShpGSo4orYAiw0WcCHqKA_ZLBjYFnYCDCFpbvJVB8HCelarQCIET5BoAHo5gGrGMzcg1qajkRSwmCBNsi6a-7HdK7d8w3SZHEP5-c3FPXu1aTD0o5oQitNjzBBD5PC3kQl_qi9_1smoxNSlf7vrMXhep-iMlmByw3ynBbXdw_2OaviVYME6y8zTUJvPmfhVQcfpOZOpvLd0jY_03CmubktmXL3eCzJgb89ojt51KZTbODfLhsNG0eli7-gyhA_jbdZX7yGCTAOve3tMaepIxnUe3GoeiWaWRjJj0EulFGA2VoZEpFVSvIvMeaubZ9_Fv&response_mode=form_post&nonce=638606883256547632.MjE3MmMxZjQtZmQ2NS00OTM3LTg4MDUtZjZmNzFlYjFjYjU2NDI0OGMwODQtOTQ4Yi00ZGVkLWIyMmMtOWI2NzllNzI1YmFl&ui_locales=en-US&x-client-SKU=ID_NET472&x-client-ver=6.35.0.0,b2clogin.com,com,itatasb2c.b2clogin.com,True,200.0,text/html,False,False,Department of Commerce,International Trade Administration,Executive,True,"[""gov"",""omb_idea""]",True,2024-08-31T08:05:36.080Z,completed,completed,completed,completed,completed,completed,completed,completed,False,,,,"[""\""password\"""",""Forgot your Password?"",""type=\""password\""""]",False,,False,,,,"[""cdn.jsdelivr.net"",""itab2cfiles.blob.core.windows.net"",""stackpath.bootstrapcdn.com""]",3.0,"["".itatasb2c.b2clogin.com""]",False,0.198123,698.799,,,True,True,User Details,,,,,,,,,,,en-US,,False,False,True,https://tasefiling.powerappsportals.us/robots.txt,False,404.0,text/html,,,,False,True,https://tasefiling.powerappsportals.us/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
alpha.ngs.noaa.gov,noaa.gov,.gov,False,https://alpha.ngs.noaa.gov/,noaa.gov,gov,alpha.ngs.noaa.gov,True,200.0,text/html,True,True,Department of Commerce,National Oceanic and Atmospheric Administration,Executive,True,"[""omb_idea""]",True,2024-08-31T05:37:04.192Z,completed,completed,completed,completed,completed,completed,completed,completed,True,,,,,False,,False,,,G-4K6MBHFT35,"[""geodesy.noaa.gov"",""www.google-analytics.com"",""www.googletagmanager.com""]",3.0,"["".noaa.gov""]",True,0.0,589.2,"[""privacy"",""usa.gov""]","[""privacy policy"",""usa.gov""]",True,True,Alpha Home | National Geodetic Survey,,,,,,,,,,,en,,False,False,False,https://alpha.ngs.noaa.gov/robots.txt,False,404.0,text/html,,,,False,False,https://alpha.ngs.noaa.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0
wdtd.noaa.gov,noaa.gov,.gov,,,,,,,,,,,Department of Commerce,National Oceanic and Atmospheric Administration,Executive,,"[""pulse""]",,2024-08-31T05:41:07.776Z,timeout,timeout,completed,timeout,timeout,timeout,completed,timeout,False,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wfip.esrl.noaa.gov,noaa.gov,.gov,,,,,,,,,,,Department of Commerce,National Oceanic and Atmospheric Administration,Executive,,"[""pulse""]",,2024-08-31T04:58:23.355Z,address_unreachable,address_unreachable,completed,unknown_error,address_unreachable,address_unreachable,completed,address_unreachable,False,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
